province,year,gender,AvglifeExp,lifeExp
Yunnan,2010,male,69.54,67.06
Yunnan,2010,female,69.54,72.43
Xizang,1990,male,59.64,57.64
Xizang,1990,female,59.64,61.57
Xizang,2000,male,64.37,62.52
Xizang,2000,female,64.37,66.15
Xizang,2010,male,68.17,66.33
Xizang,2010,female,68.17,70.07
Shaanxi,1990,male,67.4,66.23
Shaanxi,1990,female,67.4,68.79
Shaanxi,2000,male,70.07,68.92
Shaanxi,2000,female,70.07,71.3
Shaanxi,2010,male,74.68,72.84
Shaanxi,2010,female,74.68,76.74
Gansu,1990,male,67.24,66.35
Gansu,1990,female,67.24,68.25
Gansu,2000,male,67.47,66.77
Gansu,2000,female,67.47,68.26
Gansu,2010,male,72.23,70.6
Gansu,2010,female,72.23,74.06
Qinghai,1990,male,60.57,59.29
Qinghai,1990,female,60.57,61.96
Qinghai,2000,male,66.03,64.55
Qinghai,2000,female,66.03,67.7
Qinghai,2010,male,69.96,68.11
Qinghai,2010,female,69.96,72.07
Ningxia Hui,1990,male,66.94,65.95
Ningxia Hui,1990,female,66.94,68.05
Ningxia Hui,2000,male,70.17,68.71
Ningxia Hui,2000,female,70.17,71.84
Ningxia Hui,2010,male,73.38,71.31
Ningxia Hui,2010,female,73.38,75.71
Xinjiang Uygur,1990,male,63.59,61.95
Xinjiang Uygur,1990,female,63.59,63.26
Xinjiang Uygur,2000,male,67.41,65.98
Xinjiang Uygur,2000,female,67.41,69.14
Xinjiang Uygur,2010,male,72.35,70.3
Xinjiang Uygur,2010,female,72.35,74.86
All,1990,male,68.55,66.84
All,1990,female,68.55,70.47
All,2000,male,71.4,69.63
All,2000,female,71.4,73.33
All,2010,male,74.83,72.38
All,2010,female,74.83,77.37
